"year","state","fips","sen_cont_alt","hs_cont_alt","sen_dem_prop_all","sen_rep_prop_all","hs_dem_prop_all","hs_rep_prop_all","govparty_c","government_cont","government_cont_text","pop","pres_vote_rep","state_short","state_abbrev"
1969,"Alabama",1,1,1,0.9714286,0.0285714,1,0,1,1,"full_dem",3440000,NA,"Ala.","AL"
1970,"Alabama",1,1,1,0.9714286,0.0285714,0.990566,0.009434,1,1,"full_dem",3449846,NA,"Ala.","AL"
1971,"Alabama",1,1,1,1,0,0.9716981,0.0188679,1,1,"full_dem",3497452,NA,"Ala.","AL"
1972,"Alabama",1,1,1,1,0,0.9716981,0.0188679,1,1,"full_dem",3540080,NA,"Ala.","AL"
1973,"Alabama",1,1,1,1,0,0.9716981,0.0188679,1,1,"full_dem",3580769,NA,"Ala.","AL"
1974,"Alabama",1,1,1,1,0,0.9811321,0.0188679,1,1,"full_dem",3627805,NA,"Ala.","AL"
1975,"Alabama",1,1,1,1,0,1,0,1,1,"full_dem",3680533,NA,"Ala.","AL"
1976,"Alabama",1,1,1,1,0,1,0,1,1,"full_dem",3737204,NA,"Ala.","AL"
1977,"Alabama",1,1,1,0.9428571,0,0.9809524,0,1,1,"full_dem",3782736,NA,"Ala.","AL"
1978,"Alabama",1,1,1,0.9714286,0,0.9809524,0.0190476,1,1,"full_dem",3834120,NA,"Ala.","AL"
1979,"Alabama",1,1,1,1,0,0.9619048,0.0380952,1,1,"full_dem",3869444,NA,"Ala.","AL"
1980,"Alabama",1,1,1,1,0,0.9619048,0.0380952,1,1,"full_dem",3900368,NA,"Ala.","AL"
1981,"Alabama",1,1,1,1,0,0.952381,0.0380952,1,1,"full_dem",3918533,NA,"Ala.","AL"
1982,"Alabama",1,1,1,1,0,0.952381,0.0380952,1,1,"full_dem",3925263,NA,"Ala.","AL"
1983,"Alabama",1,1,1,0.9142857,0.0857143,0.9238095,0.0761905,1,1,"full_dem",3934100,NA,"Ala.","AL"
1984,"Alabama",1,1,1,0.9142857,0.0857143,0.9238095,0.0761905,1,1,"full_dem",3951824,NA,"Ala.","AL"
1985,"Alabama",1,1,1,0.8,0.1142857,0.8285714,0.1142857,1,1,"full_dem",3972520,NA,"Ala.","AL"
1986,"Alabama",1,1,1,0.8,0.1142857,0.8285714,0.1142857,1,1,"full_dem",3991569,NA,"Ala.","AL"
1987,"Alabama",1,1,1,0.8571429,0.1428571,0.8476191,0.152381,0,0.6666667,"lean_dem",4015262,NA,"Ala.","AL"
1988,"Alabama",1,1,1,0.8571429,0.1428571,0.8476191,0.152381,0,0.6666667,"lean_dem",4023842,NA,"Ala.","AL"
1989,"Alabama",1,1,1,0.8,0.1714286,0.8095238,0.1619048,0,0.6666667,"lean_dem",4030219,NA,"Ala.","AL"
1990,"Alabama",1,1,1,0.8,0.1714286,0.8095238,0.1619048,0,0.6666667,"lean_dem",4050055,NA,"Ala.","AL"
1991,"Alabama",1,1,1,0.8,0.2,0.7904762,0.2095238,0,0.6666667,"lean_dem",4099156,NA,"Ala.","AL"
1992,"Alabama",1,1,1,0.8,0.2,0.7809524,0.2190476,0,0.6666667,"lean_dem",4154014,NA,"Ala.","AL"
1993,"Alabama",1,1,1,0.8,0.2,0.7809524,0.2190476,1,1,"full_dem",4214202,NA,"Ala.","AL"
1994,"Alabama",1,1,1,0.7714286,0.2285714,0.7809524,0.2190476,1,1,"full_dem",4260229,NA,"Ala.","AL"
1995,"Alabama",1,1,1,0.6571429,0.3428572,0.7047619,0.2952381,0,0.6666667,"lean_dem",4296800,NA,"Ala.","AL"
1996,"Alabama",1,1,1,0.6571429,0.3428572,0.6952381,0.3047619,0,0.6666667,"lean_dem",4331102,NA,"Ala.","AL"
1997,"Alabama",1,1,1,0.6285715,0.3428572,0.6857143,0.3142857,0,0.6666667,"lean_dem",4367935,NA,"Ala.","AL"
1998,"Alabama",1,1,1,0.6285715,0.3714286,0.6761905,0.3238095,0,0.6666667,"lean_dem",4404701,NA,"Ala.","AL"
1999,"Alabama",1,1,1,0.6571429,0.3428572,0.6571429,0.3428572,1,1,"full_dem",4430141,NA,"Ala.","AL"
2000,"Alabama",1,1,1,0.6571429,0.3428572,0.6571429,0.3428572,1,1,"full_dem",4452173,NA,"Ala.","AL"
